IC,YEAR,IPID
NIMH,2019,110719
NIMH,2019,110720
NIMH,2019,110697
NIMH,2019,110712
NIMH,2019,110686
NIMH,2019,110680
NIMH,2019,110677
NIMH,2019,110748
NIMH,2019,110731
NIMH,2019,110710
NIMH,2019,110744
NIMH,2019,110734
NIMH,2019,112481
NIMH,2019,110732
NIMH,2019,110694
NIMH,2019,110741
NIMH,2019,110698
NIMH,2019,110718
NIMH,2019,110735
NIMH,2019,110699
NIMH,2019,110747
NIMH,2019,110755
NIMH,2019,111119
NIMH,2019,110684
NIMH,2019,110753
NIMH,2019,110672
NIMH,2019,110749
NIMH,2019,110750
NIMH,2019,110757
NIMH,2019,110711
NIMH,2019,110688
NIMH,2019,110736
NIMH,2019,110730
NIMH,2019,110707
NIMH,2019,110722
NIMH,2019,112482
NIMH,2020,115528
NIMH,2020,115572
NIMH,2020,115607
NIMH,2020,115556
NIMH,2020,115593
NIMH,2020,115585
NIMH,2020,115610
NIMH,2020,115525
NIMH,2020,115597
NIMH,2020,115552
NIMH,2020,115557
NIMH,2020,116443
NIMH,2020,115594
NIMH,2020,115527
NIMH,2020,115524
NIMH,2020,116603
NIMH,2020,115539
NIMH,2020,115568
NIMH,2020,115548
NIMH,2020,115595
NIMH,2020,115564
NIMH,2020,115599
NIMH,2020,115563
NIMH,2020,115537
NIMH,2020,115609
NIMH,2020,115542
NIMH,2020,115538
NIMH,2020,115567
NIMH,2020,115526
NIMH,2020,115530
NIMH,2020,115544
NIMH,2020,115553
NIMH,2020,115551
NIMH,2020,115596
NIMH,2020,115560
NIMH,2020,115590
NIMH,2020,115535
NIMH,2020,115580
NIMH,2020,115558
NIMH,2020,115589
NIMH,2020,115583
NIMH,2020,115601
NIMH,2020,115561
NIMH,2020,115547
NIMH,2020,115587
NIMH,2020,115577
NIMH,2020,115571
NIMH,2020,115616
NIMH,2020,115566
NIMH,2020,115578
NIMH,2020,115534
NIMH,2020,115569
NIMH,2020,115613
NIMH,2020,115576
NIMH,2020,115549
NIMH,2020,115603
NIMH,2020,115529
NIMH,2020,115605
NIMH,2020,115562
NIMH,2020,115533
NIMH,2020,115608
NIMH,2020,115604
NIMH,2020,115559
NIMH,2020,115543
NIMH,2020,115565
NIMH,2020,115575
NIMH,2020,115532
NIMH,2020,115574
NIMH,2020,115612
NIMH,2020,115588
NIMH,2020,115579
NIMH,2020,115582
NIMH,2020,115554
NIMH,2020,115581
NIMH,2020,115602
NIMH,2020,115545
NIMH,2020,115600
NIMH,2020,115584
NIMH,2020,115606
NIMH,2020,115546
NIMH,2020,115617
NIMH,2020,115592
NIMH,2020,115541
NIMH,2020,115531
NIMH,2020,115615
NIMH,2020,115614
NIMH,2020,115598
NIMH,2020,115591
NIMH,2020,115570
NIMH,2020,115550
NIMH,2020,115555
NIMH,2020,115611
NIMH,2020,115573
NIMH,2020,115536
NIMH,2021,121356
NIMH,2021,121404
NIMH,2021,121348
NIMH,2021,121431
NIMH,2021,121354
NIMH,2021,121427
NIMH,2021,121350
NIMH,2021,121375
NIMH,2021,121410
NIMH,2021,121401
NIMH,2021,121371
NIMH,2021,121351
NIMH,2021,121359
NIMH,2021,121423
NIMH,2021,121415
NIMH,2021,121357
NIMH,2021,121374
NIMH,2021,121385
NIMH,2021,121396
NIMH,2021,121386
NIMH,2021,121424
NIMH,2021,121389
NIMH,2021,121391
NIMH,2021,121412
NIMH,2021,121369
NIMH,2021,121362
NIMH,2021,121409
NIMH,2021,121349
NIMH,2021,121343
NIMH,2021,121421
NIMH,2021,121347
NIMH,2021,121400
NIMH,2021,121355
NIMH,2021,121405
NIMH,2021,121408
NIMH,2021,121395
NIMH,2021,121388
NIMH,2021,121363
NIMH,2021,121390
NIMH,2021,121413
NIMH,2021,121342
NIMH,2021,121394
NIMH,2021,121346
NIMH,2021,121381
NIMH,2021,121379
NIMH,2021,121345
NIMH,2021,121380
NIMH,2021,121361
NIMH,2021,121367
NIMH,2021,121416
NIMH,2021,121392
NIMH,2021,121383
NIMH,2021,121399
NIMH,2021,121422
NIMH,2021,122745
NIMH,2021,121420
NIMH,2021,121406
NIMH,2021,121430
NIMH,2021,121428
NIMH,2021,121402
NIMH,2021,121418
NIMH,2021,121397
NIMH,2021,121366
NIMH,2021,121429
NIMH,2021,121425
NIMH,2021,121426
NIMH,2021,121360
NIMH,2021,121414
NIMH,2021,121344
NIMH,2021,121368
NIMH,2021,121419
NIMH,2021,121372
NIMH,2021,121376
NIMH,2021,121417
NIMH,2021,121377
NIMH,2021,121364
NIMH,2021,121384
NIMH,2021,121352
NIMH,2021,121398
NIMH,2021,121403
NIMH,2021,121353
NIMH,2021,121378
NIMH,2021,121370
NIMH,2021,121387
NIMH,2021,121373
NIMH,2021,121358
NIMH,2021,122105
NIMH,2021,121382
NIMH,2021,121365
NIMH,2021,121393
NIMH,2021,121341
NIMH,2021,121411
NIMH,2021,121433
CC,2019,107934
CC,2019,107984
CC,2019,107989
CC,2019,107945
CC,2019,107970
CC,2019,107974
CC,2019,108007
CC,2019,107981
CC,2019,108012
CC,2019,107941
CC,2019,112060
CC,2019,107929
CC,2019,107933
CC,2019,108011
CC,2019,107910
CC,2019,107906
CC,2019,107993
CC,2019,107876
CC,2019,107947
CC,2019,107893
CC,2019,107892
CC,2019,107956
CC,2019,107903
CC,2019,107957
CC,2019,107982
CC,2019,107983
CC,2019,107994
CC,2019,108003
CC,2019,107952
CC,2019,107954
CC,2019,107897
CC,2019,107967
CC,2019,107937
CC,2019,107986
CC,2019,107888
CC,2019,112100
CC,2019,107935
CC,2019,107948
CC,2019,107942
CC,2019,108010
CC,2019,107980
CC,2019,107975
CC,2019,107716
CC,2019,107996
CC,2019,107921
CC,2019,107979
CC,2019,107995
CC,2019,107898
CC,2019,107943
CC,2019,107998
CC,2019,108008
CC,2019,107923
CC,2019,107966
CC,2019,107959
CC,2019,107913
CC,2019,107964
CC,2019,107878
CC,2019,107997
CC,2019,107991
CC,2019,107931
CC,2019,107919
CC,2019,107887
CC,2019,107940
CC,2019,107912
CC,2019,108000
CC,2019,107969
CC,2019,107899
CC,2019,107907
CC,2019,107916
CC,2019,107881
CC,2019,108009
CC,2019,107936
CC,2019,107946
CC,2019,107926
CC,2019,107918
CC,2019,107938
CC,2019,107928
CC,2019,107908
CC,2019,107978
CC,2019,107895
CC,2019,107985
CC,2019,107016
CC,2019,107932
CC,2019,107987
CC,2019,98415
CC,2019,107999
CC,2019,112040
CC,2019,107962
CC,2019,107972
CC,2019,107877
CC,2019,107885
CC,2019,107990
CC,2019,107973
CC,2019,107955
CC,2019,107890
CC,2019,107883
CC,2019,107961
CC,2019,107915
CC,2019,107902
CC,2019,108005
CC,2019,107905
CC,2019,107976
CC,2019,107924
CC,2019,107886
CC,2019,107889
CC,2019,107958
CC,2019,107894
CC,2019,107951
CC,2019,107909
CC,2019,107925
CC,2019,108002
CC,2019,108006
CC,2019,107904
CC,2019,107911
CC,2019,107901
CC,2019,107965
CC,2019,108001
CC,2019,108004
CC,2019,107879
CC,2019,107930
CC,2019,107884
CC,2019,107920
CC,2019,107992
CC,2019,107927
CC,2019,107960
CC,2020,112830
CC,2020,112840
CC,2020,112784
CC,2020,117663
CC,2020,112751
CC,2020,112752
CC,2020,112841
CC,2020,116985
CC,2020,112839
CC,2020,112835
CC,2020,112799
CC,2020,117826
CC,2020,112815
CC,2020,112821
CC,2020,112792
CC,2020,112770
CC,2020,112732
CC,2020,112769
CC,2020,112837
CC,2020,112826
CC,2020,112818
CC,2020,112724
CC,2020,112725
CC,2020,116984
CC,2020,112808
CC,2020,112795
CC,2020,112746
CC,2020,112793
CC,2020,112763
CC,2020,112771
CC,2020,112802
CC,2020,112736
CC,2020,112823
CC,2020,112829
CC,2020,112750
CC,2020,112772
CC,2020,112788
CC,2020,112758
CC,2020,112800
CC,2020,116323
CC,2020,112731
CC,2020,117824
CC,2020,112756
CC,2020,112522
CC,2020,112809
CC,2020,112730
CC,2020,112766
CC,2020,112782
CC,2020,112775
CC,2020,116383
CC,2020,117665
CC,2020,112791
CC,2020,112803
CC,2020,112785
CC,2020,112812
CC,2020,112819
CC,2020,112768
CC,2020,112797
CC,2020,112827
CC,2020,112834
CC,2020,112753
CC,2020,117823
CC,2020,112745
CC,2020,112728
CC,2020,112811
CC,2020,112781
CC,2020,112787
CC,2020,112776
CC,2020,112738
CC,2020,112816
CC,2020,112727
CC,2020,112735
CC,2020,112824
CC,2020,117026
CC,2020,112765
CC,2020,112801
CC,2020,112767
CC,2020,112744
CC,2020,116385
CC,2020,117027
CC,2020,112832
CC,2020,112804
CC,2020,112844
CC,2020,112778
CC,2020,112743
CC,2020,112734
CC,2020,112760
CC,2020,112786
CC,2020,112729
CC,2020,112798
CC,2020,112723
CC,2020,117825
CC,2020,112749
CC,2020,112722
CC,2020,112822
CC,2020,116023
CC,2020,112842
CC,2020,112845
CC,2020,112747
CC,2020,112843
CC,2020,117567
CC,2020,112761
CC,2020,112825
CC,2020,112721
CC,2020,112737
CC,2020,112780
CC,2020,112742
CC,2020,118163
CC,2020,112740
CC,2020,112764
CC,2020,112774
CC,2020,112831
CC,2020,112779
CC,2020,117565
CC,2020,116384
CC,2020,112805
CC,2020,112757
CC,2020,112820
CC,2020,112777
CC,2020,112773
CC,2020,112783
CC,2020,112754
CC,2020,112807
CC,2020,112817
CC,2020,117863
CC,2020,112836
CC,2020,112733
CC,2021,118539
CC,2021,118509
CC,2021,118518
CC,2021,118519
CC,2021,118552
CC,2021,118540
CC,2021,118520
CC,2021,118450
CC,2021,118514
CC,2021,118510
CC,2021,118546
CC,2021,118527
CC,2021,118436
CC,2021,118504
CC,2021,123345
CC,2021,118550
CC,2021,118506
CC,2021,118538
CC,2021,118479
CC,2021,118503
CC,2021,118464
CC,2021,118545
CC,2021,118499
CC,2021,118494
CC,2021,118517
CC,2021,118434
CC,2021,118501
CC,2021,118522
CC,2021,118542
CC,2021,118528
CC,2021,118463
CC,2021,118521
CC,2021,118516
CC,2021,118551
CC,2021,118537
CC,2021,118523
CC,2021,118452
CC,2021,118448
CC,2021,118500
CC,2021,118440
CC,2021,118468
CC,2021,118432
CC,2021,118433
CC,2021,118497
CC,2021,118487
CC,2021,118555
CC,2021,118438
CC,2021,118529
CC,2021,118447
CC,2021,118467
CC,2021,118495
CC,2021,118431
CC,2021,118458
CC,2021,118439
CC,2021,121624
CC,2021,118444
CC,2021,118490
CC,2021,121802
CC,2021,118455
CC,2021,118478
CC,2021,118443
CC,2021,118457
CC,2021,118481
CC,2021,118485
CC,2021,118466
CC,2021,118473
CC,2021,118493
CC,2021,118453
CC,2021,118515
CC,2021,122325
CC,2021,118465
CC,2021,118549
CC,2021,118556
CC,2021,118507
CC,2021,118557
CC,2021,118454
CC,2021,118536
CC,2021,118548
CC,2021,118441
CC,2021,123346
CC,2021,118469
CC,2021,118470
CC,2021,118474
CC,2021,118476
CC,2021,118526
CC,2021,118445
CC,2021,122665
CC,2021,118553
CC,2021,118480
CC,2021,118541
CC,2021,118489
CC,2021,118554
CC,2021,118461
CC,2021,118498
CC,2021,118535
CC,2021,118491
CC,2021,118513
CC,2021,118471
CC,2021,118456
CC,2021,118437
CC,2021,118446
CC,2021,118462
CC,2021,118544
CC,2021,118486
CC,2021,118532
CC,2021,118484
CC,2021,118492
CC,2021,118525
CC,2021,118511
CC,2021,118505
CC,2021,118451
CC,2021,118534
CC,2021,118449
CC,2021,118435
CC,2021,118508
CC,2021,118482
CC,2021,118543
CC,2021,118459
CC,2021,121623
CC,2021,118475
CC,2021,118472
CC,2021,118547
CC,2021,118533
CC,2021,118477
CC,2021,118460
NINR,2019,110879
NINR,2019,110884
NINR,2019,110878
NINR,2019,110891
NINR,2019,110890
NINR,2019,110880
NINR,2019,110889
NINR,2019,111097
NINR,2019,110885
NINR,2019,110883
NINR,2019,110881
NINR,2019,110887
NINR,2019,110882
NINR,2019,110888
NINR,2019,110886
NINR,2019,110877
NINR,2020,115746
NINR,2020,115732
NINR,2020,115735
NINR,2020,115741
NINR,2020,115742
NINR,2020,115736
NINR,2020,115739
NINR,2020,115743
NINR,2020,116244
NINR,2020,115733
NINR,2020,115747
NINR,2020,115744
NINR,2021,121562
NINR,2021,121555
NINR,2021,121557
NINR,2021,121564
NINR,2021,121566
NINR,2021,121560
NINR,2021,121556
NINR,2021,121559
NINR,2021,121561
NINR,2021,121558
CIT,2019,108024
CIT,2019,108019
CIT,2019,108014
CIT,2019,108016
CIT,2019,108023
CIT,2019,108020
CIT,2019,108022
CIT,2019,108025
CIT,2019,108015
CIT,2019,108021
CIT,2020,112850
CIT,2020,112849
CIT,2020,112854
CIT,2020,112853
CIT,2020,118203
CIT,2020,112851
CIT,2020,112847
CIT,2020,112855
CIT,2021,118423
CIT,2021,118425
CIT,2021,118430
CIT,2021,118426
NCATS,2019,111460
NCATS,2019,108209
NCATS,2019,108056
NCATS,2019,108071
NCATS,2019,108198
NCATS,2019,108125
NCATS,2019,108177
NCATS,2019,108183
NCATS,2019,108042
NCATS,2019,108137
NCATS,2019,108145
NCATS,2019,108076
NCATS,2019,108126
NCATS,2019,108035
NCATS,2019,108159
NCATS,2019,108107
NCATS,2019,108026
NCATS,2019,108191
NCATS,2019,108178
NCATS,2019,108047
NCATS,2019,108049
NCATS,2019,108153
NCATS,2019,111502
NCATS,2019,108194
NCATS,2019,108113
NCATS,2019,108101
NCATS,2019,108112
NCATS,2019,108184
NCATS,2019,108204
NCATS,2019,108111
NCATS,2019,108143
NCATS,2019,108155
NCATS,2019,108192
NCATS,2019,108072
NCATS,2019,108045
NCATS,2019,108205
NCATS,2019,108207
NCATS,2019,108168
NCATS,2019,108058
NCATS,2019,108029
NCATS,2019,108070
NCATS,2019,108114
NCATS,2019,108102
NCATS,2019,108166
NCATS,2019,108165
NCATS,2019,108147
NCATS,2019,108064
NCATS,2019,108157
NCATS,2019,108050
NCATS,2019,108091
NCATS,2019,108048
NCATS,2019,108080
NCATS,2019,108089
NCATS,2019,108170
NCATS,2019,111503
NCATS,2019,108100
NCATS,2019,108094
NCATS,2019,108087
NCATS,2019,108078
NCATS,2019,108151
NCATS,2019,108041
NCATS,2019,108167
NCATS,2019,108190
NCATS,2019,108081
NCATS,2019,108150
NCATS,2019,108052
NCATS,2019,108164
NCATS,2019,108105
NCATS,2019,108176
NCATS,2019,108120
NCATS,2019,108144
NCATS,2019,108099
NCATS,2019,108181
NCATS,2019,108109
NCATS,2019,108208
NCATS,2019,108173
NCATS,2019,108174
NCATS,2019,108110
NCATS,2019,108128
NCATS,2019,108141
NCATS,2019,108122
NCATS,2019,108175
NCATS,2019,108124
NCATS,2019,111622
NCATS,2019,108037
NCATS,2019,108079
NCATS,2019,108154
NCATS,2019,108043
NCATS,2019,111509
NCATS,2019,108077
NCATS,2019,108142
NCATS,2019,111504
NCATS,2019,108061
NCATS,2019,108085
NCATS,2019,108134
NCATS,2019,108196
NCATS,2019,111198
NCATS,2019,108115
NCATS,2019,108083
NCATS,2019,108031
NCATS,2019,108185
NCATS,2019,108199
NCATS,2019,108169
NCATS,2019,108059
NCATS,2019,108074
NCATS,2019,108123
NCATS,2019,108195
NCATS,2019,111515
NCATS,2019,111620
NCATS,2019,108152
NCATS,2019,108182
NCATS,2019,108116
NCATS,2019,108068
NCATS,2019,108162
NCATS,2019,108202
NCATS,2019,108060
NCATS,2019,108200
NCATS,2019,108051
NCATS,2019,108093
NCATS,2019,108038
NCATS,2019,108054
NCATS,2019,108187
NCATS,2019,108103
NCATS,2019,111514
NCATS,2019,108127
NCATS,2019,108172
NCATS,2019,108108
NCATS,2019,108193
NCATS,2019,108097
NCATS,2019,108156
NCATS,2019,108135
NCATS,2019,108201
NCATS,2019,108063
NCATS,2019,108160
NCATS,2019,108149
NCATS,2019,108073
NCATS,2019,111501
NCATS,2019,111513
NCATS,2019,108039
NCATS,2019,108028
NCATS,2019,108146
NCATS,2019,108027
NCATS,2019,108095
NCATS,2019,108188
NCATS,2019,108084
NCATS,2019,108206
NCATS,2019,108161
NCATS,2019,108046
NCATS,2019,108197
NCATS,2019,108186
NCATS,2019,108040
NCATS,2019,108096
NCATS,2019,108090
NCATS,2019,108030
NCATS,2019,108034
NCATS,2019,108179
NCATS,2019,108136
NCATS,2019,108158
NCATS,2019,108075
NCATS,2019,112120
NCATS,2019,108067
NCATS,2019,108132
NCATS,2019,108171
NCATS,2019,108033
NCATS,2019,108055
NCATS,2019,108069
NCATS,2019,108104
NCATS,2019,108036
NCATS,2019,111199
NCATS,2019,108131
NCATS,2019,108044
NCATS,2019,108121
NCATS,2019,108139
NCATS,2019,111623
NCATS,2019,108098
NCATS,2019,108118
NCATS,2019,108140
NCATS,2019,108088
NCATS,2020,112864
NCATS,2020,112983
NCATS,2020,112879
NCATS,2020,117103
NCATS,2020,113000
NCATS,2020,113031
NCATS,2020,112881
NCATS,2020,112957
NCATS,2020,113017
NCATS,2020,112944
NCATS,2020,113015
NCATS,2020,112885
NCATS,2020,113008
NCATS,2020,112939
NCATS,2020,112952
NCATS,2020,112866
NCATS,2020,112922
NCATS,2020,117883
NCATS,2020,112994
NCATS,2020,113004
NCATS,2020,112931
NCATS,2020,116801
NCATS,2020,112886
NCATS,2020,112942
NCATS,2020,117507
NCATS,2020,112895
NCATS,2020,112910
NCATS,2020,112988
NCATS,2020,112993
NCATS,2020,112961
NCATS,2020,112975
NCATS,2020,116727
NCATS,2020,113006
NCATS,2020,112897
NCATS,2020,116726
NCATS,2020,116725
NCATS,2020,112958
NCATS,2020,112960
NCATS,2020,112985
NCATS,2020,112912
NCATS,2020,112889
NCATS,2020,112933
NCATS,2020,112934
NCATS,2020,111508
NCATS,2020,112962
NCATS,2020,116824
NCATS,2020,112932
NCATS,2020,112896
NCATS,2020,112982
NCATS,2020,112941
